time_s,ACC_TFLOPS,Instant_TFLOPS
0,0.000000,0.000000
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
7,0.000000,0.000000
8,0.000000,0.000000
9,0.000000,0.000000
10,0.000000,0.000000
11,0.000000,0.000000
12,0.000000,0.000000
13,0.000000,0.000000
14,0.000000,0.000000
15,0.000000,0.000000
16,0.000000,0.000000
17,0.000000,0.000000
18,0.000000,0.000000
19,0.000000,0.000000
20,0.000000,0.000000
21,0.000000,0.000000
22,0.000000,0.000000
23,0.000000,0.000000
24,0.000000,0.000000
25,0.000000,0.000000
26,0.000000,0.000000
27,0.000000,0.000000
28,0.000000,0.000000
29,0.000000,0.000000
30,0.000000,0.000000
31,0.000000,0.000000
32,0.000000,0.000000
33,0.000000,0.000000
34,0.000000,0.000000
35,0.000000,0.000000
36,0.000000,0.000000
37,0.000000,0.000000
38,0.000000,0.000000
39,0.000000,0.000000
40,0.000000,0.000000
41,0.000000,0.000000
42,0.000000,0.000000
43,0.140493,6.181710
44,0.274743,6.181710
45,0.622123,16.254261
46,0.954722,16.254261
47,1.273463,16.254261
48,1.579193,16.254261
49,1.872694,16.254261
50,2.154686,16.254261
51,2.830020,37.272075
52,3.479870,37.272075
53,4.105652,37.272075
54,4.708678,37.272075
55,5.290167,37.272075
56,5.851253,37.272075
57,6.392992,37.272075
58,7.082773,47.090085
59,7.749561,47.090085
60,8.394488,47.090085
61,9.018611,47.090085
62,9.721042,53.271795
63,10.572542,64.217058
64,11.397842,64.217058
65,12.198134,64.217058
66,12.974535,64.217058
67,13.819009,70.398768
68,14.639006,70.398768
69,15.435574,70.398768
70,16.351570,80.471319
71,17.242122,80.471319
72,18.108276,80.471319
73,18.951020,80.471319
74,19.771290,80.471319
75,20.569975,80.471319
76,21.347914,80.471319
77,22.105907,80.471319
78,22.844710,80.471319
79,23.565042,80.471319
80,24.267589,80.471319
81,24.953000,80.471319
82,25.621896,80.471319
83,26.274865,80.471319
84,26.912470,80.471319
85,27.535248,80.471319
86,28.143708,80.471319
87,28.738340,80.471319
88,29.319609,80.471319
89,29.887962,80.471319
90,30.443823,80.471319
91,30.987600,80.471319
92,31.519683,80.471319
93,32.040445,80.471319
94,32.550244,80.471319
95,33.049422,80.471319
